0.000 -8944
0.090 -8921
0.180 -8931
0.270 -8957
0.360 -8965
0.420 -8955
0.510 -8963
0.600 -8941
0.690 -8950
0.780 -8943
0.870 -8904
0.960 -8964
1.050 -8992
1.140 -8971
1.230 -8980
1.320 -9007
1.380 -9031
1.470 -8973
1.560 -8952
1.650 -8903
1.740 -8899
1.830 -8970
1.920 -8951
2.010 -8946
2.100 -8920
2.190 -8929
2.280 -8953
2.340 -8973
2.430 -8969
2.520 -8932
2.610 -8929
2.700 -8980
2.790 -8993
2.880 -8970
2.970 -8987
3.060 -8931
3.150 -8909
3.240 -8900
3.300 -8947
3.390 -8961
3.480 -8960
3.570 -8970
3.660 -8948
3.750 -8944
3.840 -8940
3.930 -8928
4.020 -8956
4.110 -9408
4.230 -12549
4.290 -15155
4.350 -15595
4.440 -15623
4.530 -15620
4.620 -15572
4.710 -15535
4.800 -15501
4.890 -15557
4.980 -15641
5.070 -15610
5.160 -15599
5.220 -15651
5.310 -15576
5.400 -15567
5.490 -15562
5.580 -15573
5.670 -15575
5.761 -15620
5.850 -15587
5.970 -15569
6.031 -15624
6.121 -15632
6.181 -15621
6.271 -15609
6.361 -15567
6.450 -15567
6.541 -15575
6.631 -15563
6.721 -15599
6.811 -15561
6.901 -15526
6.991 -15579
7.081 -15611
7.141 -15548
7.231 -15542
7.321 -15625
7.411 -15623
7.501 -15561
7.591 -15588
7.681 -15531
7.771 -15536
7.861 -15542
7.951 -15561
8.011 -15566
8.101 -15582
8.191 -15561
8.281 -15535
8.371 -15562
8.461 -15606
8.551 -15641
8.641 -15296
8.731 -11788
8.821 -9126
8.911 -8969
8.971 -8939
9.061 -8944
9.151 -8930
9.241 -8904
9.331 -8912
9.421 -8933
9.511 -8961
9.601 -8997
9.691 -8982
9.781 -8959
9.871 -8951
9.931 -8944
10.021 -8964
10.111 -8900
10.201 -8885
10.291 -8941
10.381 -9010
10.471 -9015
10.561 -8945
10.651 -8921
10.741 -8964
10.831 -8919
10.891 -8913
10.981 -8875
11.071 -8921
11.161 -8994
11.251 -8945
11.341 -8984
11.431 -8965
11.521 -8992
11.611 -8947
