13.111 -64038
13.171 -64031
13.261 -64050
13.351 -63985
13.441 -64000
13.531 -64034
13.621 -64035
13.711 -64015
13.771 -63971
13.861 -64010
13.951 -63996
14.071 -63998
14.161 -64007
14.222 -64024
14.311 -64022
14.431 -64036
14.491 -64002
14.581 -63953
14.671 -63970
14.731 -64033
14.821 -64050
14.912 -64051
15.001 -64037
15.121 -64048
15.182 -64072
15.272 -64073
15.361 -64042
15.452 -64022
15.542 -64031
15.631 -64014
15.691 -64008
15.811 -64001
15.871 -64014
15.961 -63967
16.051 -64005
16.141 -64009
16.232 -64026
16.321 -63985
16.411 -63987
16.501 -64030
16.561 -64043
16.651 -64026
16.741 -63998
16.861 -64004
16.921 -64032
